alpha,delta,objective,initial_position_LV,initial_velocity,s0,V_0,car,acc_co,dec_co,com_time
0,1.0,7.438778994267075,3368.231052285657,113,14.0,30,20,279,1.08,1.2024,0 days 00:57:49.325003000
1,0.999041497215064,3.780758441607294,3373.381976633982,113,14.0,30,20,279,1.08,1.2024,0 days 00:15:43.349067000
2,1.0,7.438778994267075,3368.231052285657,113,14.0,30,20,279,1.08,1.2024,0 days 00:57:49.325003000
3,0.999041497215064,3.780758441607294,3373.381976633982,113,14.0,30,20,279,1.08,1.2024,0 days 00:15:43.349067000
4,1.0,2.029211370226263,9232.551547421508,113,9.0,30,20,251,1.32,1.4696,0 days 00:45:08.602288000
5,0.5917107118627224,3.6972308650664334,3497.7221260518404,113,9.0,30,20,251,1.32,1.4696,0 days 00:11:51.075400000
6,1.0,3.3326135735213653,3155.7405934516883,113,13.0,30,20,245,1.49,1.6588666666666665,0 days 00:44:42.623559000
7,0.9358709181483672,3.8952717349946,3103.584585679208,113,13.0,30,20,245,1.49,1.6588666666666665,0 days 00:11:44.376529000
8,1.0,7.606094925122168,,113,6.0,30,20,292,1.13,1.2580666666666669,0 days 00:46:38.022211000
9,0.5115695357562635,7.963185433490843,3877.269610772317,113,6.0,30,20,292,1.13,1.2580666666666669,0 days 00:12:00.552557000
10,1.0,6.2915256800369095,3114.9712204985985,113,13.0,30,20,286,1.43,1.5920666666666663,0 days 00:58:05.416020000
11,0.9253499779092678,4.081495127106669,3043.168531269462,113,13.0,30,20,286,1.43,1.5920666666666663,0 days 00:16:21.570361000
12,1.0,6.963121410781947,4009.563067915763,113,12.0,30,20,319,0.44,0.4898666666666667,0 days 00:50:44.695788000
13,0.7958491609819299,4.45914542834947,3227.558536093137,113,12.0,30,20,319,0.44,0.4898666666666667,0 days 00:12:52.852959000
14,1.0,3.239686892099098,,113,7.0,30,20,325,0.24,0.2672,0 days 01:05:38.098270000
15,0.5138289428665013,6.985820697350213,3858.356371999189,113,7.0,30,20,325,0.24,0.2672,0 days 00:17:44.173039000
16,1.0,5.89871698689576,14455.71620221705,113,10.0,30,20,331,0.03,0.0334,0 days 02:20:58.304845000
