delta,alpha,objective,time,car
0,7.405696827611675,1.0,12461.053573976284,0 days 00:12:25.941912000,178
1,3.1129124869388503,0.2990247741050873,2227.69183716335,0 days 00:03:07.053627000,178
2,7.405696827611675,1.0,12461.053573976284,0 days 00:12:25.941912000,178
3,3.1129124869388503,0.2990247741050873,2227.69183716335,0 days 00:03:07.053627000,178
4,2.1374367798883567,1.0,18317.560730573467,0 days 00:14:14.211921000,150
5,7.901133408702292,0.11222427760678806,,0 days 00:03:41.801968000,150
6,7.7942387477422415,1.0,13825.765784687483,0 days 00:14:04.364744000,144
7,6.0275106090083135,0.354060327005551,2255.521761863383,0 days 00:03:41.058867000,144
8,4.2572227598097205,1.0,9894.12993707512,0 days 00:12:50.393714000,193
9,3.788890656739112,0.29076535409032706,2783.1985886181283,0 days 00:03:03.997789000,193
10,6.275794708505631,1.0,,0 days 00:13:57.707461000,33
11,6.372256224601212,0.013705551887352068,,0 days 00:03:39.215103000,33
12,4.857883331408843,1.0,13120.978699832178,0 days 00:14:11.962940000,27
13,3.169467136650236,0.29450608962809943,2231.202767086371,0 days 00:03:39.846907000,27
14,5.125079978431543,1.0,12112.857644243992,0 days 00:12:07.978599000,187
15,5.817492424216392,0.3228378336200753,2708.0059591474383,0 days 00:02:52.860898000,187
16,2.326554468090933,1.0,,0 days 00:14:10.463403000,26
17,5.237990544212698,0.3257359544186947,831.1168737288579,0 days 00:03:41.199772000,26
18,5.345362348037613,1.0,14506.194299572066,0 days 00:11:54.853097000,186
19,3.807740694791368,0.0797044336853403,,0 days 00:02:48.961193000,186
20,3.797716281807466,1.0,10462.913338699103,0 days 00:12:56.080560000,192
21,2.713614675686341,0.30931557562286044,1575.298643239323,0 days 00:03:03.026320000,192
22,4.271685039701052,1.0,43345.85449714883,0 days 00:14:14.826635000,32
23,6.518926236554183,0.31332230232383745,995.0804199738002,0 days 00:03:39.204338000,32
24,5.9719789887385675,1.0,13022.04170196908,0 days 00:14:05.273829000,145
25,3.464826029831748,0.28352159742007144,2486.723569866384,0 days 00:03:39.415943000,145
26,4.067985884640798,1.0,18813.273088951537,0 days 00:13:52.965100000,151
27,5.852609060942839,0.1609570151177568,,0 days 00:02:58.366116000,151
28,7.507445723759877,1.0,12065.437941976208,0 days 00:12:14.592303000,179
29,5.788588961115131,0.2777902523831056,2129.756588366874,0 days 00:03:03.759561000,179
30,2.1365381035717963,1.0,12270.562864952031,0 days 00:14:06.994980000,147
31,7.915722984749245,0.2964227452756485,2245.2941817099095,0 days 00:03:41.064655000,147
32,4.3287418120628836,1.0,19222.386708695485,0 days 00:10:53.074578000,153
33,7.184714604142804,0.1795182729871239,,0 days 00:02:45.030158000,153
34,2.6384010563534543,1.0,,0 days 00:11:13.990195000,18
35,6.885023555469156,0.3317944768817649,931.3374679461988,0 days 00:02:40.767424000,18
36,7.4206511462785025,1.0,12346.604638284534,0 days 00:13:42.190438000,184
37,6.388138721736068,0.2859244384588848,1767.0131630527285,0 days 00:03:08.438942000,184
38,4.06594207283331,1.0,,0 days 00:14:12.173807000,24
39,6.6975587801298895,0.3476149573465713,840.9274806544802,0 days 00:03:40.830134000,24
40,7.457882406608441,1.0,,0 days 00:14:12.782522000,30
41,3.086766914228991,0.3109750509825668,1108.2907548930446,0 days 00:03:40.897605000,30
42,4.3729192646455735,1.0,10884.751247057166,0 days 00:11:46.527530000,190
43,7.45402505997113,0.3242617274193727,2630.940090925838,0 days 00:02:47.811499000,190
44,5.828722263295286,1.0,10065.237423901712,0 days 00:14:06.888250000,31
45,6.172378685500653,0.3076985924178761,2515.533316150668,0 days 00:03:39.605298000,31
46,7.105109083386066,1.0,8755.692519849263,0 days 00:11:38.487895000,191
47,3.491913413384703,0.2963189758086362,1715.9951427104395,0 days 00:02:45.396161000,191
48,7.673445478527018,1.0,12749.414479033923,0 days 00:13:51.574846000,185
49,6.6795000037712,0.1664132468570312,,0 days 00:03:07.119772000,185
50,2.0202790299607734,1.0,17341.442803637594,0 days 00:14:11.936062000,25
51,5.216692873010278,0.31014976926119225,1332.6428618375278,0 days 00:03:40.714734000,25
52,3.3751950203611334,1.0,,0 days 00:14:11.980992000,19
53,7.5983556896134425,0.32806639718282443,927.4650511958447,0 days 00:03:39.919835000,19
54,4.373668976695035,1.0,17602.197034653185,0 days 00:14:01.270598000,152
55,2.6336250798970795,0.2920600301355744,1631.9322433269422,0 days 00:02:59.030720000,152
56,2.6117520221396746,1.0,,0 days 00:14:04.067776000,146
57,3.166284632137136,0.16157378796818075,,0 days 00:03:39.519522000,146
58,3.9635957768554495,1.0,10219.633907995763,0 days 00:14:11.765008000,142
59,3.313843953027612,0.08197519954139232,,0 days 00:03:40.232425000,142
60,5.762643352851065,1.0,15386.35489214688,0 days 00:10:52.315210000,156
61,6.0302533553524444,0.2740071490513024,2952.8402191201612,0 days 00:02:42.411871000,156
62,4.402087968134538,1.0,56403.51790311713,0 days 00:14:03.345598000,21
63,7.129269599620987,0.31770155857824023,1195.4633378591209,0 days 00:03:38.973219000,21
64,7.761425337722678,1.0,9370.596254045751,0 days 00:11:53.982160000,181
65,7.055492548884509,0.3194294637149249,1331.6698499842155,0 days 00:02:59.097777000,181
66,5.028911208535527,1.0,15573.959950301447,0 days 00:12:41.591286000,195
67,2.327227324867329,0.3081809218432457,2921.8385241838964,0 days 00:03:02.499398000,195
68,5.6563860899332274,1.0,,0 days 00:14:04.955340000,35
69,5.867446139714921,0.9922594590684036,,0 days 00:03:39.557972000,35
70,3.9013784372596394,1.0,13260.541539398457,0 days 00:12:52.177814000,194
71,6.157929999367735,0.3227665437299557,2530.758834958787,0 days 00:03:03.286554000,194
72,7.130260923535037,1.0,9261.846099829445,0 days 00:14:17.798882000,34
73,4.20081918841946,0.303945596331964,1556.2552179064378,0 days 00:03:40.377287000,34
74,6.136347158050578,1.0,,0 days 00:14:11.544779000,20
75,4.629019086858326,0.09780143136684816,,0 days 00:03:38.798228000,20
76,7.0367201058366,1.0,14458.411864002019,0 days 00:11:57.949744000,180
77,5.7052654275631465,0.2981117484620179,2634.1197121788264,0 days 00:03:00.075828000,180
78,5.020924394174117,1.0,8305.18818202598,0 days 00:10:59.525896000,157
79,4.788957633649263,0.2884516750838452,1629.6704873776891,0 days 00:02:42.967184000,157
80,5.834355392506575,1.0,11854.597705634804,0 days 00:14:01.080942000,143
81,7.8770322832073845,0.2622847903903305,2841.5092877389416,0 days 00:03:39.516015000,143
82,3.6128651035644435,1.0,14046.155311976723,0 days 00:10:54.478565000,155
83,7.840836535552438,0.28293542286137985,2622.727306501991,0 days 00:02:45.654567000,155
84,6.952824088085331,1.0,12287.79497034201,0 days 00:12:15.189136000,141
85,6.138981749002705,0.291117065931296,1817.9060424568115,0 days 00:03:01.201730000,141
86,6.70150851602413,1.0,10837.290861337118,0 days 00:11:52.218867000,169
87,3.0097302792027687,0.2876454821254689,1742.924548260946,0 days 00:03:00.053813000,169
88,5.463162148977138,1.0,26872.216632533215,0 days 00:12:04.598892000,36
89,2.6273063470764324,0.13266646506626706,,0 days 00:03:03.422821000,36
90,5.412021586189481,1.0,12246.9918437123,0 days 00:12:48.406821000,196
91,4.042390247469917,0.30124406977725826,1463.9049873049426,0 days 00:03:03.901052000,196
92,6.553396879329235,1.0,9498.308832482877,0 days 00:13:40.270031000,182
93,4.355880540533125,0.3020990966629667,1212.0871715364847,0 days 00:03:09.754347000,182
94,3.1247869544132585,1.0,,0 days 00:14:08.112570000,22
95,5.381459139555553,0.3065743240354071,1210.5426128228432,0 days 00:03:40.404156000,22
